Site,Date,Time_hours,WaterTemp,WindDir,WindSpeed,AirPressure,Vis_Code,Depth,Habitat,Month,Year,Day,StudyYear,Protection,Region,Total_Time,Season
A4,29/07/2016,13.3,14.4,SSE,22.2,1022,1,40,Sand,7,2016,29,1,Unprotected,Walker Bay,45.45,Winter-Spring
A5,26/10/2016,8.666666667,22.46,Variable,3.7,1009,3,12,Rocky reef,10,2016,26,1,Unprotected,Walker Bay,59.43333333,Winter-Spring
A6,26/10/2016,8.8,22.46,Variable,3.7,1009,2,25,Sand,10,2016,26,1,Unprotected,Walker Bay,60.23333333,Winter-Spring
A6,04/07/2017,13.66666667,14.17,SW,11,1021,1,28,Rocky reef,7,2017,4,1,Unprotected,Walker Bay,62.65,Winter-Spring
A8,29/07/2016,11,15,S,14.8,1022,2,50,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,49.25,Winter-Spring
A8,11/04/2017,12.16666667,18,ESE,13,1016,2,46,Rocky reef,4,2017,11,1,Unprotected,Walker Bay,60,Summer-Fall
A8,01/09/2017,10.95,15.4,NA,NA,NA,2,40,Rocky reef,9,2017,1,2,Unprotected,Walker Bay,64.98333333,Winter-Spring
A9B,29/07/2016,11.13333333,15,S,24.1,1022,3,26,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,54.73333333,Winter-Spring
B1,26/10/2016,10.61666667,22.46,WSW,5.6,1008,3,27,Rocky reef,10,2016,26,1,Unprotected,Walker Bay,63.48333333,Winter-Spring
B1,21/04/2017,8,14.84,ENE,6,1018,1,45,Rocky reef,4,2017,21,1,Unprotected,Walker Bay,48.5,Summer-Fall
B1,07/03/2018,7.55,16.5,NA,NA,NA,2,24,Rocky reef,3,2018,7,2,Unprotected,Walker Bay,58.08333333,Summer-Fall
B12A,20/10/2016,10.2,16,NE,22,1010,2,40,Sand,10,2016,20,1,Unprotected,Walker Bay,67.71666667,Winter-Spring
B13,20/10/2016,10.05,16,NE,22,1010,2,35,Rocky reef,10,2016,20,1,Unprotected,Walker Bay,67.15,Winter-Spring
B13,21/04/2017,10.11666667,14.84,ENE,8,1019,4,50,Rocky reef,4,2017,21,1,Unprotected,Walker Bay,56.93333333,Summer-Fall
B13,05/04/2018,11.1,13,NW,22,1008.6,3,50,Sand,4,2018,5,2,Unprotected,Walker Bay,60.01666667,Summer-Fall
B16,20/10/2016,8.416666667,16.5,NE,14,1011,1,40,Sand,10,2016,20,1,Unprotected,Walker Bay,56.96666667,Winter-Spring
B16,21/04/2017,13.36666667,14.84,SE,14,1018,1,40,Sand,4,2017,21,1,Unprotected,Walker Bay,67.7,Summer-Fall
B16,12/07/2017,10.95,15,ESE,7.1,1008,1,45,Sand,7,2017,12,1,Unprotected,Walker Bay,62.36666667,Winter-Spring
B16,05/04/2018,11.26666667,14.4,NW,22,1008.3,1,51,Sand,4,2018,5,2,Unprotected,Walker Bay,61.83333333,Summer-Fall
B17,20/10/2016,8.25,16,NE,14,1011,1,25,Sand,10,2016,20,1,Unprotected,Walker Bay,29.06666667,Winter-Spring
B17,21/04/2017,13.05,14.84,SE,14,1018,1,23,Sand,4,2017,21,1,Unprotected,Walker Bay,79.3,Summer-Fall
B17,31/07/2017,10.38333333,14.81,NNE,16,1012,1,19,Sand,7,2017,31,1,Unprotected,Walker Bay,49.3,Winter-Spring
B17,05/04/2018,12.61666667,13.6,NW,22,1008.3,1,28,Sand,4,2018,5,2,Unprotected,Walker Bay,61.48333333,Summer-Fall
B18,20/10/2016,8.6,16,NE,14,1011,1,35,Sand,10,2016,20,1,Unprotected,Walker Bay,54.81666667,Winter-Spring
B18,12/07/2017,9.5,15,SE,9.9,1008,2,35,Sand,7,2017,12,1,Unprotected,Walker Bay,65.26666667,Winter-Spring
B18,07/03/2018,12.26666667,16.5,NA,NA,NA,1,35,Sand,3,2018,7,2,Unprotected,Walker Bay,59.11666667,Summer-Fall
B19,21/04/2017,13.28333333,14.84,SE,14,1018,2,29,Sand,4,2017,21,1,Unprotected,Walker Bay,47.31666667,Summer-Fall
B19,12/07/2017,11.1,15,SE,6.1,1008,2,43,Sand,7,2017,12,1,Unprotected,Walker Bay,34.6,Winter-Spring
B2,06/10/2016,8.683333333,16,NE,21,1014,1,45,Sand,10,2016,6,1,Unprotected,Walker Bay,55.63333333,Winter-Spring
B2,21/04/2017,8.216666667,14.84,ENE,6,1018,3,45,Rocky reef,4,2017,21,1,Unprotected,Walker Bay,60,Summer-Fall
B4,21/04/2017,8.383333333,14.84,ENE,6,1018,4,35,Rocky reef,4,2017,21,1,Unprotected,Walker Bay,60,Summer-Fall
B4,03/07/2017,11.06666667,15.58,SE,6,1027,1,50,Sand,7,2017,3,1,Unprotected,Walker Bay,62.55,Winter-Spring
B7,26/10/2016,10.46666667,22.46,WSW,5.6,1008,3,55,Sand,10,2016,26,1,Unprotected,Walker Bay,57.96666667,Winter-Spring
B8,26/10/2016,10.71666667,22.46,WSW,5.6,1008,3,20,Rocky reef,10,2016,26,1,Unprotected,Walker Bay,66.4,Winter-Spring
B8,21/04/2017,9.016666667,14.84,ENE,8,1019,3,17,Rocky reef,4,2017,21,1,Unprotected,Walker Bay,60,Summer-Fall
B8,07/03/2018,7.7,12.21,SSE,8,1014,2,17,Kelp,3,2018,7,2,Unprotected,Walker Bay,60.35,Summer-Fall
C1,21/04/2017,10.31666667,14.84,ENE,8,1019,4,50,Sand,4,2017,21,1,Unprotected,Walker Bay,60,Summer-Fall
C1,12/07/2017,11.55,14.9,NA,NA,NA,1,50,Sand,7,2017,12,1,Unprotected,Walker Bay,58.03333333,Winter-Spring
C11,27/07/2016,9.5,13,NW,13,1014,1,35,Sand,7,2016,27,1,Unprotected,Walker Bay,103.1833333,Winter-Spring
C12,27/07/2016,9.25,13,NW,13,1014,4,48,Sand,7,2016,27,1,Unprotected,Walker Bay,60.61666667,Winter-Spring
C1A,22/09/2016,9.966666667,16,S,22.2,1024,1,43,Sand,9,2016,22,1,Unprotected,Walker Bay,66.81666667,Winter-Spring
C2,27/07/2016,10,13,NW,13,1014,4,50,Sand,7,2016,27,1,Unprotected,Walker Bay,60.3,Winter-Spring
C3,25/07/2016,10.33333333,15.6,SE,22.2,1028,2,35,Rocky reef,7,2016,25,1,Unprotected,Walker Bay,51.5,Winter-Spring
C4,21/04/2017,11.66666667,14.84,E,8,1019,3,50,Sand,4,2017,21,1,Unprotected,Walker Bay,60.88333333,Summer-Fall
C4A,22/09/2016,10.1,16,S,22.2,1024,2,38.7,Rocky reef,9,2016,22,1,Unprotected,Walker Bay,52.76666667,Winter-Spring
C6A,22/09/2016,10.2,16,S,22.2,1024,1,38.6,Sand,9,2016,22,1,Unprotected,Walker Bay,72.25,Winter-Spring
C7,25/07/2016,9.833333333,15.6,E,22.2,1028,3,40,Sand,7,2016,25,1,Unprotected,Walker Bay,52.53333333,Winter-Spring
D1,13/09/2016,9.683333333,15.3,E,12,1021,2,50,Rocky reef,9,2016,13,1,Unprotected,Walker Bay,53.05,Winter-Spring
D10,27/10/2016,9.866666667,16.7,SE,3,1017,2,50,Sand,10,2016,27,1,Unprotected,Walker Bay,51.78333333,Winter-Spring
D10,15/05/2017,10.6,14.54,NNE,11,1019,3,40,Sand,5,2017,15,1,Unprotected,Walker Bay,60,Summer-Fall
D10,11/01/2018,11.75,18.6,NNW,22,1008,2,43,Sand,1,2018,11,2,Unprotected,Walker Bay,64.13333333,Summer-Fall
D11,25/08/2016,8.916666667,14,NE,13,1021,1,32.5,Sand,8,2016,25,1,Unprotected,Walker Bay,70.16666667,Winter-Spring
D11,18/01/2017,10.71666667,18,E,26,1016,3,35,Sand,1,2017,18,1,Unprotected,Walker Bay,67.08333333,Summer-Fall
D11,11/01/2018,8.783333333,18.2,S,5,1008,2,34,Sand,1,2018,11,2,Unprotected,Walker Bay,59.13333333,Summer-Fall
D12,25/08/2016,9.2,14,NE,13,1021,3,21.8,Sand,8,2016,25,1,Unprotected,Walker Bay,55.15,Winter-Spring
D12,18/01/2017,10.43333333,18,E,27,1017,3,7,Rocky reef,1,2017,18,1,Unprotected,Walker Bay,67.73333333,Summer-Fall
D12,15/05/2017,14.35,14.54,SSW,8,1017,4,20,Sand,5,2017,15,1,Unprotected,Walker Bay,49.98333333,Summer-Fall
D12,11/01/2018,9,18,WNW,7,1008,3,21,Rocky reef,1,2018,11,2,Unprotected,Walker Bay,57.36666667,Summer-Fall
D13,25/08/2016,11.18333333,15,NE,12,1022,2,22.7,Rocky reef,8,2016,25,1,Unprotected,Walker Bay,64.73333333,Winter-Spring
D13,18/01/2017,10.96666667,18,E,27,1016,3,20,Rocky reef,1,2017,18,1,Unprotected,Walker Bay,46.46666667,Summer-Fall
D13,15/05/2017,14.48333333,14.54,SSW,8,1017,3,22,Rocky reef,5,2017,15,1,Unprotected,Walker Bay,60,Summer-Fall
D13,11/01/2018,10.25,18,WNW,7,1008,2,34,Sand,1,2018,11,2,Unprotected,Walker Bay,54.38333333,Summer-Fall
D14,25/08/2016,9.433333333,15,NE,13,1021,3,16,Rocky reef,8,2016,25,1,Unprotected,Walker Bay,87.11666667,Winter-Spring
D14,18/01/2017,10,18,E,27,1017,4,20,Rocky reef,1,2017,18,1,Unprotected,Walker Bay,73.3,Summer-Fall
D14,15/05/2017,14.4,14.54,SSW,8,1017,3,14,Rocky reef,5,2017,15,1,Unprotected,Walker Bay,44.91666667,Summer-Fall
D14,11/01/2018,9.066666667,17.8,WNW,7,1008,4,16,Rocky reef,1,2018,11,2,Unprotected,Walker Bay,59.05,Summer-Fall
D15,25/08/2016,11.35,15,NE,12,1022,2,26,Sand,8,2016,25,1,Unprotected,Walker Bay,63.68333333,Winter-Spring
D15,18/01/2017,12.33333333,18,E,26,1016,3,20,Sand,1,2017,18,1,Unprotected,Walker Bay,41.38333333,Summer-Fall
D15,15/05/2017,12.43333333,14.54,NNE,8,1018,3,25,Sand,5,2017,15,1,Unprotected,Walker Bay,79.36666667,Summer-Fall
D16,27/10/2016,10.11666667,16.7,NE,8,1017,2,35,Sand,10,2016,27,1,Unprotected,Walker Bay,52.63333333,Winter-Spring
D16,15/05/2017,12.35,14.54,NNE,8,1018,2,32,Sand,5,2017,15,1,Unprotected,Walker Bay,68.88333333,Summer-Fall
D16,11/01/2018,11.85,18,NNW,22,1008,1,35,Sand,1,2018,11,2,Unprotected,Walker Bay,67.7,Summer-Fall
D17,15/05/2017,10.71666667,14.54,NNE,11,1019,2,40,Sand,5,2017,15,1,Unprotected,Walker Bay,73.55,Summer-Fall
D17,11/01/2018,13.25,21.4,WSW,20,1008,1,42,Sand,1,2018,11,2,Unprotected,Walker Bay,59.96666667,Summer-Fall
D18,25/08/2016,11.51666667,15,NE,12,1022,1,32,Sand,8,2016,25,1,Unprotected,Walker Bay,59.21666667,Winter-Spring
D18,15/05/2017,12.48333333,14.54,NNE,8,1018,3,25,Rocky reef,5,2017,15,1,Unprotected,Walker Bay,83.41666667,Summer-Fall
D18,11/01/2018,10.51666667,18,WNW,7,1008,3,31,Sand,1,2018,11,2,Unprotected,Walker Bay,58.43333333,Summer-Fall
D19,15/05/2017,12.28333333,14.54,NNE,8,1018,4,35,Rocky reef,5,2017,15,1,Unprotected,Walker Bay,64.55,Summer-Fall
D20,15/05/2017,10.78333333,14.54,NNE,11,1019,2,45,Sand,5,2017,15,1,Unprotected,Walker Bay,68.03333333,Summer-Fall
D9,11/01/2018,13.16666667,18,WSW,20,1008,3,50,Sand,1,2018,11,2,Unprotected,Walker Bay,45.38333333,Summer-Fall
E1,24/02/2017,8.5,15.8,W,14,1010,4,20,Sand,2,2017,24,1,Protected,Walker Bay,30.63333333,Summer-Fall
E1,17/05/2017,12.76666667,13.2,NA,NA,NA,3,15,Sand,5,2017,17,1,Protected,Walker Bay,74.01666667,Summer-Fall
E10,17/02/2017,12.16666667,16,S,11,1014,2,17,Sand,2,2017,17,1,Protected,Walker Bay,61.53333333,Summer-Fall
E10,15/05/2017,8.816666667,14.54,NNE,11,1018,2,18,Sand,5,2017,15,1,Protected,Walker Bay,64.08333333,Summer-Fall
E10,24/01/2018,8.783333333,14.1,WNW,11,1009.1,1,17,Sand,1,2018,24,2,Protected,Walker Bay,58.2,Summer-Fall
E11,17/02/2017,12.06666667,16,S,11,1014,2,13,Sand,2,2017,17,1,Protected,Walker Bay,58.55,Summer-Fall
E11,15/05/2017,8.716666667,14.54,NNE,11,1018,1,12,Sand,5,2017,15,1,Protected,Walker Bay,62.91666667,Summer-Fall
E11,24/01/2018,8.966666667,15.59,SSW,10,1014.12,2,15,Sand,1,2018,24,2,Protected,Walker Bay,61.36666667,Summer-Fall
E12,23/05/2017,10.16666667,13.05,NW,8,1012,3,38,Rocky reef,5,2017,23,1,Protected,Walker Bay,62.95,Summer-Fall
E12,12/06/2018,10.16666667,16.1,N,15,1030,3,35,Rocky reef,6,2018,12,2,Protected,Walker Bay,62.65,Winter-Spring
E13,17/02/2017,9.95,16,E,11,1015,2,19,Sand,2,2017,17,1,Protected,Walker Bay,63.51666667,Summer-Fall
E13,17/05/2017,9.433333333,12.67,WSW,3,1022,1,12,Sand,5,2017,17,1,Protected,Walker Bay,63.35,Summer-Fall
E13,24/01/2018,10.5,14.9,S,12,1014.7,2,16,Sand,1,2018,24,2,Protected,Walker Bay,61.03333333,Summer-Fall
E14,17/02/2017,10.1,16,E,11,1015,2,14,Sand,2,2017,17,1,Protected,Walker Bay,61.31666667,Summer-Fall
E14,17/05/2017,9.333333333,12.67,WSW,3,1022,2,11,Sand,5,2017,17,1,Protected,Walker Bay,60,Summer-Fall
E15,17/02/2017,10.16666667,16,E,11,1015,1,17,Sand,2,2017,17,1,Protected,Walker Bay,56.11666667,Summer-Fall
E15,17/05/2017,9.15,12.67,WSW,3,1022,1,17,Sand,5,2017,17,1,Protected,Walker Bay,64.21666667,Summer-Fall
E15,24/01/2018,12.26666667,15.3,S,16,1014.98,1,25,Sand,1,2018,24,2,Protected,Walker Bay,66.31666667,Summer-Fall
E16,17/02/2017,10.43333333,16,E,11,1015,1,22,Sand,2,2017,17,1,Protected,Walker Bay,86.43333333,Summer-Fall
E16,17/05/2017,9.266666667,12.67,WSW,3,1022,1,13,Sand,5,2017,17,1,Protected,Walker Bay,63.31666667,Summer-Fall
E17,13/02/2017,9.7,19,NNE,20.4,1013,1,40,Sand,2,2017,13,1,Protected,Walker Bay,65.15,Summer-Fall
E17,17/05/2017,12.6,12.67,SSW,8,1022,1,41,Sand,5,2017,17,1,Protected,Walker Bay,69.55,Summer-Fall
E18,17/05/2017,12.63333333,12.67,SSW,8,1022,2,37,Rocky reef,5,2017,17,1,Protected,Walker Bay,67.01666667,Summer-Fall
E18,12/06/2018,8.483333333,16.1,N,10,1030,2,39,Sand,6,2018,12,2,Protected,Walker Bay,62.73333333,Winter-Spring
E19,17/02/2017,14.06666667,16,SSW,18,1013,2,33,Sand,2,2017,17,1,Protected,Walker Bay,58.16666667,Summer-Fall
E19,17/05/2017,11.08333333,12.67,SSW,8,1022,2,31,Sand,5,2017,17,1,Protected,Walker Bay,64.51666667,Summer-Fall
E19,24/01/2018,12.01666667,15.59,S,16,1014.98,1,30,Sand,1,2018,24,2,Protected,Walker Bay,61.08333333,Summer-Fall
E2,24/02/2017,8.65,15.8,W,14,1010,3,15,Sand,2,2017,24,1,Protected,Walker Bay,67.63333333,Summer-Fall
E2,17/05/2017,14.4,12.67,SSW,13,1021,2,15,Sand,5,2017,17,1,Protected,Walker Bay,20.73333333,Summer-Fall
E20,24/02/2017,8.933333333,15.8,W,14,1010,4,28,Sand,2,2017,24,1,Protected,Walker Bay,62,Summer-Fall
E20,17/05/2017,12.7,12.67,SSW,8,1022,3,27,Sand,5,2017,17,1,Protected,Walker Bay,72.61666667,Summer-Fall
E20,12/06/2018,8.533333333,16.1,N,10,1030,2,35,Rocky reef,6,2018,12,2,Protected,Walker Bay,63.3,Winter-Spring
E3,17/02/2017,13.95,16,SSW,18,1013,3,24,Sand,2,2017,17,1,Protected,Walker Bay,71.71666667,Summer-Fall
E3,17/05/2017,10.76666667,12.67,WSW,3,1022,2,19,Sand,5,2017,17,1,Protected,Walker Bay,54.36666667,Summer-Fall
E4,24/02/2017,8.783333333,15.8,W,14,1010,4,20,Sand,2,2017,24,1,Protected,Walker Bay,61,Summer-Fall
E4,17/05/2017,14.3,12.67,SSW,13,1021,2,19,Sand,5,2017,17,1,Protected,Walker Bay,56.33333333,Summer-Fall
E5,13/02/2017,11.16666667,19,NNE,20.4,1014,1,33,Sand,2,2017,13,1,Protected,Walker Bay,45.75,Summer-Fall
E5,26/05/2017,10.31666667,13.68,NW,18,1016,1,33,Sand,5,2017,26,1,Protected,Walker Bay,60,Summer-Fall
E5,12/06/2018,10,15.08,NNE,4,1028,3,31,Sand,6,2018,12,2,Protected,Walker Bay,64.9,Winter-Spring
E6,17/02/2017,1.75,16,SSW,18,1013,2,30,Sand,2,2017,17,1,Protected,Walker Bay,48.71666667,Summer-Fall
E6,17/05/2017,11.71666667,12.67,SSW,8,1022,2,26,Sand,5,2017,17,1,Protected,Walker Bay,37.03333333,Summer-Fall
E6,24/01/2018,10.66666667,15.59,S,12,1014.7,3,38,Sand,1,2018,24,2,Protected,Walker Bay,62.73333333,Summer-Fall
E7,17/05/2017,10.8,12.67,WSW,3,1022,2,25,Sand,5,2017,17,1,Protected,Walker Bay,57.25,Summer-Fall
E7,24/01/2018,10.33333333,15.59,S,12,1014.7,2,32,Sand,1,2018,24,2,Protected,Walker Bay,61.56666667,Summer-Fall
E8,17/02/2017,12.38333333,16,S,11,1014,1,27,Sand,2,2017,17,1,Protected,Walker Bay,67.48333333,Summer-Fall
E8,15/05/2017,8.95,14.54,NNE,11,1018,1,30,Sand,5,2017,15,1,Protected,Walker Bay,78.2,Summer-Fall
E9,17/02/2017,12.33333333,16,S,11,1014,2,18,Sand,2,2017,17,1,Protected,Walker Bay,61.86666667,Summer-Fall
E9,15/05/2017,8.9,14.54,NNE,11,1018,2,21,Sand,5,2017,15,1,Protected,Walker Bay,69.15,Summer-Fall
E9,24/01/2018,8.566666667,18,S,5,1008,2,26,Sand,1,2018,24,2,Protected,Walker Bay,62.23333333,Summer-Fall
F1,07/02/2017,11.93333333,19,SSE,26,1013,1,7,Sand,2,2017,7,1,Protected,Walker Bay,61.43333333,Summer-Fall
F1,13/05/2017,11.31666667,15,E,13.2,1023,1,8,Sand,5,2017,13,1,Protected,Walker Bay,64.73333333,Summer-Fall
F10,24/02/2017,10.4,15.8,W,14,1010,3,35,Rocky reef,2,2017,24,1,Protected,Walker Bay,65.05,Summer-Fall
F10,28/07/2017,9.7,14.57,NNW,19,1017,2,38,Sand,7,2017,28,1,Protected,Walker Bay,65.86666667,Winter-Spring
F10,14/02/2018,9.8,13.69,SW,12,1012.09,4,38,Sand,2,2018,14,2,Protected,Walker Bay,61.05,Summer-Fall
F11,26/05/2017,10.38333333,13.68,NW,18,1016,1,19,Sand,5,2017,26,1,Protected,Walker Bay,50.31666667,Summer-Fall
F11,14/02/2018,11.11666667,13.69,SW,14,1011.79,2,19,Sand,2,2018,14,2,Protected,Walker Bay,62.5,Summer-Fall
F12,13/02/2017,12.86666667,19,NNE,20.4,1014,1,12,Sand,2,2017,13,1,Protected,Walker Bay,31.26666667,Summer-Fall
F12,26/05/2017,10.28333333,13.68,NW,18,1016,1,9,Sand,5,2017,26,1,Protected,Walker Bay,68.36666667,Summer-Fall
F13,13/02/2017,13,19,NNE,18.5,1015,1,14,Sand,2,2017,13,1,Protected,Walker Bay,48.86666667,Summer-Fall
F13,23/05/2017,11.83333333,13.05,W,14,1012,1,10,Sand,5,2017,23,1,Protected,Walker Bay,60,Summer-Fall
F13,14/02/2018,11.2,12.7,SW,14,1011.79,2,14,Sand,2,2018,14,2,Protected,Walker Bay,65.23333333,Summer-Fall
F14,01/02/2017,9.316666667,17.8,NA,NA,NA,1,24,Sand,2,2017,1,1,Protected,Walker Bay,73.25,Summer-Fall
F14,28/07/2017,11.43333333,15.1,NW,25,1017,2,25,Sand,7,2017,28,1,Protected,Walker Bay,65.16666667,Winter-Spring
F15,07/02/2017,11.83333333,19,SSW,19,1014,1,5,Sand,2,2017,7,1,Protected,Walker Bay,59.53333333,Summer-Fall
F17,24/02/2017,10.61666667,15.8,W,14,1010,3,20,Rocky reef,2,2017,24,1,Protected,Walker Bay,64.46666667,Summer-Fall
F17,13/05/2017,9.65,15,ENE,16.2,1023,2,32,Rocky reef,5,2017,13,1,Protected,Walker Bay,60,Summer-Fall
F18,26/05/2017,10.46666667,13.68,NW,18,1016,1,20,Sand,5,2017,26,1,Protected,Walker Bay,73.45,Summer-Fall
F18,14/02/2018,11.05,13,SW,14,1011.79,3,29,Sand,2,2018,14,2,Protected,Walker Bay,65.68333333,Summer-Fall
F19,01/02/2017,12.03333333,19,SSE,16,1012,2,40,Sand,2,2017,1,1,Protected,Walker Bay,26.16666667,Summer-Fall
F19,23/05/2017,1.85,13.05,W,21,1010,1,20,Sand,5,2017,23,1,Protected,Walker Bay,60,Summer-Fall
F19,01/11/2017,9.683333333,16,ESE,9.36,1010,1,27,Sand,11,2017,1,2,Protected,Walker Bay,75.33333333,Winter-Spring
F19,05/06/2018,10.13333333,16.1,E,3,1024,1,27,Sand,6,2018,5,2,Protected,Walker Bay,58.35,Winter-Spring
F2,01/02/2017,11.95,17.8,SSE,16,1012,2,40,Sand,2,2017,1,1,Protected,Walker Bay,27.76666667,Summer-Fall
F2,23/05/2017,13.78333333,13.05,W,21,1010,1,36,Sand,5,2017,23,1,Protected,Walker Bay,59.83333333,Summer-Fall
F2,06/02/2018,10.48333333,14.6,NW,22,1010,1,35,Sand,2,2018,6,2,Protected,Walker Bay,62.45,Summer-Fall
F2,05/06/2018,9.933333333,15.8,E,3,1024,1,29.2,Sand,6,2018,5,2,Protected,Walker Bay,61.93333333,Winter-Spring
F20,07/02/2017,10.08333333,19,SSW,13,1014,1,47,Sand,2,2017,7,1,Protected,Walker Bay,66.78333333,Summer-Fall
F20,28/07/2017,9.583333333,14.6,NNW,15,1017,3,50,Rocky reef,7,2017,28,1,Protected,Walker Bay,65.51666667,Winter-Spring
F20,14/02/2018,9.65,12.6,SW,12,1012.09,4,42,Sand,2,2018,14,2,Protected,Walker Bay,59.78333333,Summer-Fall
F20,13/04/2018,9.4,13.9,NW,13,1018,3,37,Rocky reef,4,2018,13,2,Protected,Walker Bay,61.28333333,Summer-Fall
F20,12/06/2018,11.63333333,16.1,NNW,18,1028,2,50,Rocky reef,6,2018,12,2,Protected,Walker Bay,65.88333333,Winter-Spring
F3,01/02/2017,11.68333333,17.8,SSE,16,1012,2,40,Sand,2,2017,1,1,Protected,Walker Bay,61.8,Summer-Fall
F3,01/11/2017,9.383333333,16,SSE,6.8,1010,2,45,Sand,11,2017,1,2,Protected,Walker Bay,83.16666667,Winter-Spring
F3,06/02/2018,10.41666667,14.4,NW,22,1010,1,33,Sand,2,2018,6,2,Protected,Walker Bay,61.26666667,Summer-Fall
F3,13/04/2018,7.916666667,11.5,NW,13,1018,3,31,Sand,4,2018,13,2,Protected,Walker Bay,61.83333333,Summer-Fall
F3,04/05/2018,8.35,17,NA,NA,NA,1,35,Sand,5,2018,4,2,Protected,Walker Bay,62.76666667,Summer-Fall
F5,24/02/2017,10.71666667,15.8,W,19,1010,4,27,Sand,2,2017,24,1,Protected,Walker Bay,68.6,Summer-Fall
F5,01/11/2017,9.316666667,16,SE,7.2,1010,1,40,Sand,11,2017,1,2,Protected,Walker Bay,65.26666667,Winter-Spring
